Star Name,Size (in miles),Type (OBAFGKM Scale),Luminosity (Absolute Magnitude),Color,Composition,Image
109    Psc,2370000.0,G3Va,6.279,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\109____Psc.jpg
Eps Scl,--,F1V+K1V,5.31,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Eps_Scl.jpg
4    Ari,--,B9.5V,5.841,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\4____Ari.jpg
1    Ari,--,G3III+A3IV,5.86,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\1____Ari.jpg
1    Per,--,B1.5V,5.52,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\1____Per.jpg
2    Per,--,B9pHgMn,5.689,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\2____Per.jpg
55    And,--,K1III,5.394,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\55____And.jpg
Psi Phe,--,M4III,4.41,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Psi_Phe.jpg
56    And,--,K0III,Unknown,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\56____And.jpg
Phi Phe,13200000.0,A3V,5.109,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Phi_Phe.jpg
7    Ari,--,G8III,5.749,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\7____Ari.jpg
